family_type,go_function,family_count
Core,0008199,1
Core,0008233,1
Core,0008234,1
Core,0008236,1
Core,0008237,1
Core,0008251,1
Core,0008252,1
Core,0008253,1
Core,0008270,1
Core,0008310,1
Core,0008311,1
Core,0008320,1
Core,0008324,1
Core,0008374,1
Core,0008379,1
Core,0008408,1
Core,0008409,1
Core,0008412,1
Core,0008413,1
Core,0008428,1
Core,0008441,1
Core,0008444,1
Core,0008448,1
Core,0008460,1
Core,0008478,1
Core,0008479,1
Core,0008484,1
Core,0008495,1
Core,0008519,1
Core,0008534,1
Core,0008556,1
Core,0008641,1
Core,0008649,1
Core,0008658,1
Core,0008661,1
Core,0008664,1
Core,0008666,1
Core,0008672,1
Core,0008676,1
Core,0008677,1
Core,0008679,1
Core,0008685,1
Core,0008686,1
Core,0008690,1
Core,0008692,1
Core,0008695,1
Core,0008696,1
Core,0008697,1
Core,0008703,1
Core,0008705,1
Core,0008710,1
Core,0008712,1
Core,0008714,1
Core,0008715,1
Core,0008716,1
Core,0008720,1
Core,0008721,1
Core,0008726,1
Core,0008728,1
Core,0008730,1
Core,0008733,1
Core,0008734,1
Core,0008736,1
Core,0008737,1
Core,0008740,1
Core,0008741,1
Core,0008743,1
Core,0008745,1
Core,0008747,1
Core,0008750,1
Core,0008752,1
Core,0008756,1
Core,0008757,1
Core,0008758,1
Core,0008760,1
Core,0008761,1
Core,0008762,1
Core,0008763,1
Core,0008764,1
Core,0008770,1
Core,0008771,1
Core,0008772,1
Core,0008779,1
Core,0008780,1
Core,0008782,1
Core,0008783,1
Core,0008784,1
Core,0008785,1
Core,0008788,1
Core,0008791,1
Core,0008792,1
Core,0008794,1
Core,0008795,1
Core,0008798,1
Core,0008800,1
Core,0008803,1
Core,0008804,1
Core,0008808,1
Core,0008813,1
Core,0008814,1
Core,0008815,1
Core,0008817,1
Core,0008818,1
Core,0008821,1
Core,0008828,1
Core,0008829,1
Core,0008832,1
Core,0008834,1
Core,0008835,1
Core,0008836,1
Core,0008837,1
Core,0008838,1
Core,0008839,1
Core,0008840,1
Core,0008849,1
Core,0008854,1
Core,0008855,1
Core,0008859,1
Core,0008863,1
Core,0008864,1
Core,0008869,1
Core,0008878,1
Core,0008879,1
Core,0008880,1
Core,0008881,1
Core,0008882,1
Core,0008883,1
Core,0008893,1
Core,0008894,1
Core,0008897,1
Core,0008899,1
Core,0008901,1
Core,0008902,1
Core,0008909,1
Core,0008914,1
Core,0008915,1
Core,0008920,1
Core,0008922,1
Core,0008924,1
Core,0008926,1
Core,0008927,1
Core,0008929,1
Core,0008930,1
Core,0008933,1
Core,0008934,1
Core,0008939,1
Core,0008940,1
Core,0008941,1
Core,0008949,1
Core,0008951,1
Core,0008955,1
Core,0008959,1
Core,0008961,1
Core,0008962,1
Core,0008963,1
Core,0008964,1
Core,0008965,1
Core,0008966,1
Core,0008967,1
Core,0008968,1
Core,0008972,1
Core,0008973,1
Core,0008974,1
Core,0008976,1
Core,0008977,1
Core,0008982,1
Core,0008986,1
Core,0008987,1
Core,0008988,1
Core,0008990,1
Core,0008993,1
Core,0008995,1
Core,0008998,1
Core,0009001,1
Core,0009002,1
Core,0009007,1
Core,0009009,1
Core,0009014,1
Core,0009015,1
Core,0009017,1
Core,0009029,1
Core,0009030,1
Core,0009032,1
Core,0009034,1
Core,0009055,1
Core,0009378,1
Core,0009381,1
Core,0009384,1
Core,0009975,1
Core,0009982,1
Core,0010181,1
Core,0010340,1
Core,0010945,1
Core,0015035,1
Core,0015078,1
Core,0015079,1
Core,0015081,1
Core,0015087,1
Core,0015093,1
Core,0015095,1
Core,0015098,1
Core,0015099,1
Core,0015112,1
Core,0015116,1
Core,0015123,1
Core,0015129,1
Core,0015136,1
Core,0015144,1
Core,0015153,1
Core,0015171,1
Core,0015221,1
Core,0015232,1
Core,0015233,1
Core,0015250,1
Core,0015267,1
Core,0015288,1
Core,0015293,1
Core,0015295,1
Core,0015297,1
Core,0015344,1
Core,0015370,1
Core,0015385,1
Core,0015411,1
Core,0015413,1
Core,0015419,1
Core,0015424,1
Core,0015444,1
Core,0015450,1
Core,0015473,1
Core,0015501,1
Core,0015503,1
Core,0015562,1
Core,0015572,1
Core,0015574,1
Core,0015633,1
Core,0015649,1
Core,0015930,1
Core,0016151,1
Core,0016209,1
Core,0016298,1
Core,0016301,1
Core,0016407,1
Core,0016410,1
Core,0016430,1
Core,0016434,1
Core,0016436,1
Core,0016462,1
Core,0016491,1
Core,0016530,1
Core,0016614,1
Core,0016616,1
Core,0016618,1
Core,0016620,1
Core,0016627,1
Core,0016639,1
Core,0016651,1
Core,0016661,1
Core,0016667,1
Core,0016682,1
Core,0016684,1
Core,0016705,1
Core,0016709,1
Core,0016722,1
Core,0016731,1
Core,0016740,1
Core,0016742,1
Core,0016743,1
Core,0016746,1
Core,0016747,1
Core,0016757,1
Core,0016758,1
Core,0016760,1
Core,0016763,1
Core,0016765,1
Core,0016772,1
Core,0016773,1
Core,0016776,1
Core,0016779,1
Core,0016780,1
Core,0016782,1
Core,0016783,1
Core,0016787,1
Core,0016788,1
Core,0016790,1
Core,0016791,1
Core,0016798,1
Core,0016799,1
Core,0016805,1
Core,0016810,1
Core,0016811,1
Core,0016817,1
Core,0016818,1
Core,0016829,1
Core,0016831,1
Core,0016832,1
Core,0016835,1
Core,0016836,1
Core,0016853,1
Core,0016854,1
Core,0016855,1
Core,0016857,1
Core,0016868,1
Core,0016874,1
Core,0016879,1
Core,0016881,1
Core,0016887,1
Core,0016891,1
Core,0016896,1
Core,0016901,1
Core,0016903,1
Core,0016966,1
Core,0016987,1
Core,0016989,1
Core,0016992,1
Core,0017108,1
Core,0017113,1
Core,0017150,1
Core,0017168,1
Core,0018738,1
Core,0019104,1
Core,0019134,1
Core,0019165,1
Core,0019171,1
Core,0019177,1
Core,0019180,1
Core,0019213,1
Core,0019534,1
Core,0019808,1
Core,0019825,1
Core,0019829,1
Core,0019843,1
Core,0020037,1
Core,0022857,1
Core,0022877,1
Core,0030060,1
Core,0030145,1
Core,0030151,1
Core,0030170,1
Core,0030267,1
Core,0030527,1
Core,0030554,1
Core,0030599,1
Core,0030604,1
Core,0030674,1
Core,0030697,1
Core,0030798,1
Core,0030975,1
Core,0030976,1
Core,0030983,1
Core,0031071,1
Core,0031177,1
Core,0031267,1
Core,0031402,1
Core,0031419,1
Core,0032977,1
Core,0033232,1
Core,0033592,1
Core,0033711,1
Core,0033739,1
Core,0033743,1
Core,0033744,1
